City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Winslow,US,2022-01-30 01:51:03,35.0242,-110.6974,44.78,25,0,0.0
1,Atuona,PF,2022-01-30 01:51:04,-9.8,-139.0333,78.03,78,24,13.35
2,Khatanga,RU,2022-01-30 01:51:04,71.9667,102.5,-8.77,97,94,7.92
3,Port Alfred,ZA,2022-01-30 01:51:04,-33.5906,26.891,68.13,87,14,7.63
4,Punta Arenas,CL,2022-01-30 01:48:24,-53.15,-70.9167,50.11,57,0,16.11
5,Dabola,GN,2022-01-30 01:51:05,10.75,-11.1167,72.81,24,24,1.74
6,Butaritari,KI,2022-01-30 01:51:05,3.0707,172.7902,82.54,72,67,17.94
7,Sungaipenuh,ID,2022-01-30 01:51:06,-2.0833,101.3833,71.89,84,100,1.23
8,Arlit,NE,2022-01-30 01:51:06,18.7369,7.3853,60.6,17,3,7.25
9,Lompoc,US,2022-01-30 01:48:08,34.6391,-120.4579,61.79,58,0,5.75
10,Porto Novo,BJ,2022-01-30 01:51:06,6.4965,2.6036,76.82,56,38,4.12
11,Singkang,MY,2022-01-30 01:51:07,2.1006,102.7994,78.69,69,100,3.74
12,Yellowknife,CA,2022-01-30 01:51:07,62.456,-114.3525,-13.45,76,40,4.61
13,Avarua,CK,2022-01-30 01:46:52,-21.2078,-159.775,80.65,78,100,11.5
14,Husavik,IS,2022-01-30 01:49:36,66.0449,-17.3389,33.71,80,100,17.13
15,Coolum Beach,AU,2022-01-30 01:51:08,-26.5333,153.1,84.11,82,68,1.99
16,Bahia Blanca,AR,2022-01-30 01:51:08,-38.7196,-62.2724,82.36,40,23,21.07
17,Isangel,VU,2022-01-30 01:51:08,-19.55,169.2667,78.91,94,100,6.91
18,San Cristobal,VE,2022-01-30 01:51:09,7.7669,-72.225,71.78,85,44,3.33
19,Kirakira,SB,2022-01-30 01:51:09,-10.4544,161.9205,85.05,73,70,9.95
20,Port Elizabeth,ZA,2022-01-30 01:51:10,-33.918,25.5701,66.49,88,0,6.91
21,Albany,US,2022-01-30 01:48:31,42.6001,-73.9662,8.74,57,100,11.99
22,Bredasdorp,ZA,2022-01-30 01:46:54,-34.5322,20.0403,65.28,94,5,3.44
23,Touros,BR,2022-01-30 01:51:10,-5.1989,-35.4608,76.1,82,98,10.25
24,Vila Franca Do Campo,PT,2022-01-30 01:48:35,37.7167,-25.4333,56.19,71,78,9.64
25,Saint George,US,2022-01-30 01:51:11,37.1041,-113.5841,53.35,19,0,1.99
26,Vaini,TO,2022-01-30 01:51:11,-21.2,-175.2,81.95,75,100,11.14
27,Saskylakh,RU,2022-01-30 01:51:11,71.9167,114.0833,-20.51,100,99,4.12
28,Butterworth,MY,2022-01-30 01:51:12,5.3991,100.3638,84.24,86,20,5.01
29,Lebu,CL,2022-01-30 01:51:12,-37.6167,-73.65,57.74,89,2,9.31
30,Torbay,CA,2022-01-30 01:51:12,47.6666,-52.7314,42.28,96,100,29.93
31,Luderitz,NA,2022-01-30 01:51:13,-26.6481,15.1594,67.86,77,35,1.5
32,Kapaa,US,2022-01-30 01:51:13,22.0752,-159.319,79.12,66,20,1.99
33,Leningradskiy,RU,2022-01-30 01:51:14,69.3833,178.4167,-10.98,91,54,4.36
34,Saint-Pierre,RE,2022-01-30 01:51:14,-21.3393,55.4781,76.68,78,14,5.75
35,Homer,US,2022-01-30 01:51:14,59.6425,-151.5483,24.69,85,75,13.8
36,Hami,CN,2022-01-30 01:51:15,42.8,93.45,20.7,41,5,1.83
37,Pasighat,IN,2022-01-30 01:51:15,28.0667,95.3333,55.94,52,1,1.57
38,Yarmouth,US,2022-01-30 01:51:15,41.7057,-70.2286,21.31,91,100,16.11
39,Sars,RU,2022-01-30 01:51:16,56.5502,57.1366,9.12,92,100,4.09
40,College,US,2022-01-30 01:51:16,64.8569,-147.8028,-6.14,73,20,0.0
41,Carnarvon,AU,2022-01-30 01:48:20,-24.8667,113.6333,80.67,78,75,13.8
42,Guerrero Negro,MX,2022-01-30 01:51:16,27.9769,-114.0611,62.47,53,5,10.85
43,Pochutla,MX,2022-01-30 01:48:08,15.7432,-96.4661,79.83,75,0,2.93
44,Hobart,AU,2022-01-30 01:51:17,-42.8794,147.3294,79.02,50,20,1.99
45,Dan Khun Thot,TH,2022-01-30 01:51:17,15.2085,101.7714,87.67,58,16,9.06
