City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Severo-Kurilsk,50.6789,156.125,27.82,77,80,13.76,RU,2022-01-31 06:34:53,light snow
1,Erice,38.037,12.5865,48.67,82,75,16.11,IT,2022-01-31 06:34:53,broken clouds
2,Lompoc,34.6391,-120.4579,55.13,88,69,13.0,US,2022-01-31 06:34:54,broken clouds
3,Tuktoyaktuk,69.4541,-133.0374,-0.4,78,100,23.02,CA,2022-01-31 06:34:54,light snow
4,Bosaso,11.2842,49.1816,76.98,78,20,5.75,SO,2022-01-31 06:34:54,few clouds
5,Upernavik,72.7868,-56.1549,-13.94,89,100,6.38,GL,2022-01-31 06:34:55,overcast clouds
6,Salalah,17.0151,54.0924,75.29,60,0,2.3,OM,2022-01-31 06:34:55,clear sky
7,Chokurdakh,70.6333,147.9167,-20.09,95,100,3.18,RU,2022-01-31 06:34:56,overcast clouds
8,Punta Arenas,-53.15,-70.9167,48.31,71,40,14.97,CL,2022-01-31 06:32:25,scattered clouds
9,Tarko-Sale,64.9225,77.785,6.33,91,100,8.75,RU,2022-01-31 06:34:56,overcast clouds
10,Esperance,-33.8667,121.9,64.24,76,100,23.89,AU,2022-01-31 06:34:57,overcast clouds
11,Yellowknife,62.456,-114.3525,-12.59,86,75,9.22,CA,2022-01-31 06:34:57,light snow
12,Hithadhoo,-0.6,73.0833,82.6,70,5,10.2,MV,2022-01-31 06:34:57,clear sky
13,Kharp,66.8014,65.8081,-2.78,100,100,0.07,RU,2022-01-31 06:34:58,overcast clouds
14,Sur,22.5667,59.5289,77.76,48,0,3.94,OM,2022-01-31 06:34:58,clear sky
15,Rikitea,-23.1203,-134.9692,77.32,62,100,4.92,PF,2022-01-31 06:34:58,overcast clouds
16,Casa Nova,-9.4167,-41.1333,73.38,69,56,12.84,BR,2022-01-31 06:34:59,broken clouds
17,Khatanga,71.9667,102.5,-6.41,98,97,6.62,RU,2022-01-31 06:34:59,overcast clouds
18,Sinnamary,5.3833,-52.95,75.15,89,89,9.22,GF,2022-01-31 06:35:00,overcast clouds
19,Albany,42.6001,-73.9662,8.55,66,6,2.44,US,2022-01-31 06:30:02,clear sky
20,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.49,83,11,5.64,BR,2022-01-31 06:35:00,few clouds
21,Saskylakh,71.9167,114.0833,-25.42,100,99,2.84,RU,2022-01-31 06:35:00,overcast clouds
22,Castro,-24.7911,-50.0119,62.55,99,100,3.42,BR,2022-01-31 06:35:01,overcast clouds
23,Ponta Do Sol,32.6667,-17.1,65.03,79,1,10.09,PT,2022-01-31 06:35:01,clear sky
24,Kutum,14.2,24.6667,56.14,18,5,17.38,SD,2022-01-31 06:35:01,clear sky
25,Atuona,-9.8,-139.0333,78.22,75,8,15.68,PF,2022-01-31 06:35:02,clear sky
26,Tasiilaq,65.6145,-37.6368,5.13,63,100,4.92,GL,2022-01-31 06:35:02,overcast clouds
27,Brae,60.3964,-1.353,39.11,57,100,31.12,GB,2022-01-31 06:35:03,overcast clouds
28,Lorengau,-2.0226,147.2712,81.37,80,100,15.39,PG,2022-01-31 06:35:03,overcast clouds
29,Ushuaia,-54.8,-68.3,42.46,75,100,8.05,AR,2022-01-31 06:35:03,light intensity drizzle
30,Saldanha,-33.0117,17.9442,77.05,58,36,1.77,ZA,2022-01-31 06:35:04,scattered clouds
31,Arcachon,44.5875,-1.0519,45.41,100,100,3.44,FR,2022-01-31 06:35:04,overcast clouds
32,Hovd,48.0056,91.6419,-5.31,84,8,3.58,MN,2022-01-31 06:35:04,clear sky
33,Mpanda,-6.3655,31.0409,69.28,91,100,1.95,TZ,2022-01-31 06:35:05,moderate rain
34,Mlada Vozice,49.5331,14.8086,34.14,85,100,8.28,CZ,2022-01-31 06:35:05,overcast clouds
35,Barrow,71.2906,-156.7887,-5.78,77,100,13.8,US,2022-01-31 06:35:05,haze
36,Hermanus,-34.4187,19.2345,79.9,71,59,13.27,ZA,2022-01-31 06:35:06,broken clouds
37,Kalmunai,7.4167,81.8167,82.26,70,74,14.43,LK,2022-01-31 06:35:06,broken clouds
38,Livny,52.4253,37.6069,28.4,96,100,14.92,RU,2022-01-31 06:35:07,snow
39,Marquette,46.5333,-87.6335,10.76,88,41,3.85,US,2022-01-31 06:35:07,scattered clouds
40,Vila Velha,-20.3297,-40.2925,78.75,93,20,6.91,BR,2022-01-31 06:35:07,light rain
41,Saint-Philippe,-21.3585,55.7679,85.55,82,100,13.76,RE,2022-01-31 06:35:08,overcast clouds
42,Bethel,41.3712,-73.414,20.05,70,0,0.0,US,2022-01-31 06:35:08,clear sky
43,Teguise,29.0605,-13.564,55.62,58,0,3.44,ES,2022-01-31 06:35:08,clear sky
44,Busselton,-33.65,115.3333,79.09,30,24,18.97,AU,2022-01-31 06:36:09,few clouds
45,Yendi,9.4427,-0.0099,69.84,13,100,6.71,GH,2022-01-31 06:36:09,overcast clouds
46,Hamilton,39.1834,-84.5333,28.09,80,0,0.0,US,2022-01-31 06:34:05,clear sky
47,Salihli,38.4826,28.1477,39.49,82,66,4.56,TR,2022-01-31 06:36:10,broken clouds
48,Vaini,-21.2,-175.2,81.32,70,100,14.99,TO,2022-01-31 06:36:10,overcast clouds
49,Cape Town,-33.9258,18.4232,80.11,68,0,1.99,ZA,2022-01-31 06:35:30,clear sky
50,Cayenne,4.9333,-52.3333,79.09,89,20,3.0,GF,2022-01-31 06:34:57,few clouds
51,Port Alfred,-33.5906,26.891,78.22,75,100,12.66,ZA,2022-01-31 06:36:11,overcast clouds
52,Nikolskoye,59.7035,30.7861,26.49,97,100,4.5,RU,2022-01-31 06:36:11,snow
53,Codrington,-38.2667,141.9667,71.53,75,0,10.67,AU,2022-01-31 06:36:12,clear sky
54,Kapaa,22.0752,-159.319,71.58,70,20,6.91,US,2022-01-31 06:36:12,few clouds
55,Chara,56.9064,118.2631,-11.85,98,35,1.14,RU,2022-01-31 06:36:12,scattered clouds
56,Wilmslow,53.328,-2.2315,42.75,74,40,20.71,GB,2022-01-31 06:36:13,scattered clouds
57,Berlevag,70.8578,29.0864,28.35,86,95,14.97,NO,2022-01-31 06:36:13,overcast clouds
58,Torbay,47.6666,-52.7314,35.58,84,99,4.0,CA,2022-01-31 06:36:13,overcast clouds
59,Ribeira Grande,38.5167,-28.7,59.25,74,4,23.73,PT,2022-01-31 06:36:14,clear sky
60,Ewa Beach,21.3156,-158.0072,74.08,69,40,8.01,US,2022-01-31 06:36:14,scattered clouds
61,Airai,-8.9266,125.4092,67.28,75,100,7.14,TL,2022-01-31 06:36:15,overcast clouds
